A1	Codigouf	Codigomunicipio	Nome	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102	A103	A104	A105	A106	A107	A108	A109	A110	A111	A112	A113	A114	A115	A116	A117
2909307	29	9307	CORRENTINA	Sim	Sim	2002	Sim	2001	Sim	Sim	2005	Sim	Sim	2009	Sim	Não	Não	Não	Sim	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2909406	29	9406	COTEGIPE	Sim	Sim	2002	Sim	1997	Sim	Sim	2014	Sim	Sim	2014	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2909505	29	9505	CRAVOLANDIA	Sim	Não	2011	Sim	2004	Não	-	-	Sim	Não	Não foi atualizado	Não cobra nenhuma taxa	-	-	-	-	-	-	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2909604	29	9604	CRISOPOLIS	Sim	Sim	2013	Sim	2013	Sim	Não	2012	Sim	Sim	2012	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	Sim	Não	Sim	Não	Sim	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2909703	29	9703	CRISTOPOLIS	Sim	Sim	1999	Sim	2003	Sim	Sim	Não foi atualizada	Sim	Sim	2010	Sim	Sim	Não	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2909802	29	9802	CRUZ DAS ALMAS	Sim	Sim	2001	Sim	2001	Sim	Sim	2001	Sim	Sim	2014	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2909901	29	9901	CURACA	Sim	Sim	2015	Sim	2000	Não	-	-	Não	-	-	Não cobra nenhuma taxa	-	-	-	-	-	-	Sim	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Sim	Sim
2910008	29	10008	DARIO MEIRA	Sim	Sim	2012	Sim	2000	Sim	Sim	Não foi atualizada	Sim	Sim	Não foi atualizado	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	Sim	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não sabe informar
2910057	29	10057	DIAS D'AVILA	Sim	Sim	1992	Sim	2014	Sim	Sim	2002	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Nenhum empreendimento	-	-	-	-	-	Sim	Não	Não	Sim	Sim	Não	Não	Não	Sim	Não	Nenhum empreendimento	-	-	-	-	-	-	Não	-	Não sabe informar
2910107	29	10107	DOM BASILIO	Sim	Sim	2015	Sim	2001	Sim	Sim	Não foi atualizada	Sim	Sim	Não foi atualizado	Não cobra nenhuma taxa	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Sim	Não
2910206	29	10206	DOM MACEDO COSTA	Sim	Sim	2003	Sim	2001	Sim	Sim	Não foi atualizada	Sim	Sim	Não foi atualizado	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Sim	Não	Sim	Não	Não	Não	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	-	Não
2910305	29	10305	ELISIO MEDRADO	Sim	Não	2013	Sim	2001	Sim	Sim	2014	Sim	Não	2013	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Sim	Não	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2910404	29	10404	ENCRUZILHADA	Não	-	-	Não	-	Não	-	-	Não	-	-	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2910503	29	10503	ENTRE RIOS	Sim	Sim	1993	Sim	2005	Sim	Sim	2011	Sim	Sim	2014	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Não
