A1	A199	A200	A201	A202	A203	A204
1200054	Norte	12	AC	ASSIS BRASIL	2 - 5001 até 10000	6738
1200104	Norte	12	AC	BRASILEIA	4 - 20001 até 50000	23849
1200138	Norte	12	AC	BUJARI	2 - 5001 até 10000	9339
1200179	Norte	12	AC	CAPIXABA	3 - 10001 até 20000	10498
1200203	Norte	12	AC	CRUZEIRO DO SUL	5 - 50001 até 100000	81519
1200252	Norte	12	AC	EPITACIOLANDIA	3 - 10001 até 20000	16731
1200302	Norte	12	AC	FEIJO	4 - 20001 até 50000	32385
1200328	Norte	12	AC	JORDAO	2 - 5001 até 10000	7509
1200336	Norte	12	AC	MANCIO LIMA	3 - 10001 até 20000	17173
1200344	Norte	12	AC	MANOEL URBANO	2 - 5001 até 10000	8641
1200351	Norte	12	AC	MARECHAL THAUMATURGO	3 - 10001 até 20000	16895
1200385	Norte	12	AC	PLACIDO DE CASTRO	3 - 10001 até 20000	18159
1200393	Norte	12	AC	PORTO WALTER	3 - 10001 até 20000	10759
1200401	Norte	12	AC	RIO BRANCO	6 - 100001 até 500000	370550
1200427	Norte	12	AC	RODRIGUES ALVES	3 - 10001 até 20000	16974
1200435	Norte	12	AC	SANTA ROSA DO PURUS	2 - 5001 até 10000	5809
1200450	Norte	12	AC	SENADOR GUIOMARD	4 - 20001 até 50000	21182
1200500	Norte	12	AC	SENA MADUREIRA	4 - 20001 até 50000	41750
1200609	Norte	12	AC	TARAUACA	4 - 20001 até 50000	38819
1200708	Norte	12	AC	XAPURI	3 - 10001 até 20000	17608
1200807	Norte	12	AC	PORTO ACRE	3 - 10001 até 20000	16757
1300029	Norte	13	AM	ALVARAES	3 - 10001 até 20000	15545
1300060	Norte	13	AM	AMATURA	3 - 10001 até 20000	10847
1300086	Norte	13	AM	ANAMA	3 - 10001 até 20000	12320
1300102	Norte	13	AM	ANORI	3 - 10001 até 20000	19292
1300144	Norte	13	AM	APUI	4 - 20001 até 50000	20648
1300201	Norte	13	AM	ATALAIA DO NORTE	3 - 10001 até 20000	18133
1300300	Norte	13	AM	AUTAZES	4 - 20001 até 50000	37033
1300409	Norte	13	AM	BARCELOS	4 - 20001 até 50000	27433
1300508	Norte	13	AM	BARREIRINHA	4 - 20001 até 50000	30658
1300607	Norte	13	AM	BENJAMIN CONSTANT	4 - 20001 até 50000	39484
1300631	Norte	13	AM	BERURI	3 - 10001 até 20000	18171
1300680	Norte	13	AM	BOA VISTA DO RAMOS	3 - 10001 até 20000	17668
1300706	Norte	13	AM	BOCA DO ACRE	4 - 20001 até 50000	33498
1300805	Norte	13	AM	BORBA	4 - 20001 até 50000	39292
1300839	Norte	13	AM	CAAPIRANGA	3 - 10001 até 20000	12420
1300904	Norte	13	AM	CANUTAMA	3 - 10001 até 20000	15130
1301001	Norte	13	AM	CARAUARI	4 - 20001 até 50000	27880
1301100	Norte	13	AM	CAREIRO	4 - 20001 até 50000	36435
1301159	Norte	13	AM	CAREIRO DA VARZEA	4 - 20001 até 50000	27981
1301209	Norte	13	AM	COARI	5 - 50001 até 100000	83078
1301308	Norte	13	AM	CODAJAS	4 - 20001 até 50000	26777
1301407	Norte	13	AM	EIRUNEPE	4 - 20001 até 50000	34025
1301506	Norte	13	AM	ENVIRA	3 - 10001 até 20000	18786
1301605	Norte	13	AM	FONTE BOA	4 - 20001 até 50000	20742
1301654	Norte	13	AM	GUAJARA	3 - 10001 até 20000	15826
1301704	Norte	13	AM	HUMAITA	5 - 50001 até 100000	51302
1301803	Norte	13	AM	IPIXUNA	4 - 20001 até 50000	26860
1301852	Norte	13	AM	IRANDUBA	4 - 20001 até 50000	45984
1301902	Norte	13	AM	ITACOATIARA	5 - 50001 até 100000	97122
1301951	Norte	13	AM	ITAMARATI	2 - 5001 até 10000	8179
1302009	Norte	13	AM	ITAPIRANGA	2 - 5001 até 10000	8953
1302108	Norte	13	AM	JAPURA	2 - 5001 até 10000	5125
1302207	Norte	13	AM	JURUA	3 - 10001 até 20000	13198
1302306	Norte	13	AM	JUTAI	3 - 10001 até 20000	16585
1302405	Norte	13	AM	LABREA	4 - 20001 até 50000	43263
1302504	Norte	13	AM	MANACAPURU	5 - 50001 até 100000	94175
1302553	Norte	13	AM	MANAQUIRI	4 - 20001 até 50000	28413
1302603	Norte	13	AM	MANAUS	7 - Maior que 500000	2057711
1302702	Norte	13	AM	MANICORE	5 - 50001 até 100000	53053
1302801	Norte	13	AM	MARAA	3 - 10001 até 20000	18423
1302900	Norte	13	AM	MAUES	5 - 50001 até 100000	59983
1303007	Norte	13	AM	NHAMUNDA	4 - 20001 até 50000	20358
1303106	Norte	13	AM	NOVA OLINDA DO NORTE	4 - 20001 até 50000	35156
1303205	Norte	13	AM	NOVO AIRAO	3 - 10001 até 20000	17671
1303304	Norte	13	AM	NOVO ARIPUANA	4 - 20001 até 50000	24315
1303403	Norte	13	AM	PARINTINS	6 - 100001 até 500000	111575
1303502	Norte	13	AM	PAUINI	3 - 10001 até 20000	19378
1303536	Norte	13	AM	PRESIDENTE FIGUEIREDO	4 - 20001 até 50000	32812
1303569	Norte	13	AM	RIO PRETO DA EVA	4 - 20001 até 50000	30530
1303601	Norte	13	AM	SANTA ISABEL DO RIO NEGRO	4 - 20001 até 50000	22404
1303700	Norte	13	AM	SANTO ANTONIO DO ICA	4 - 20001 até 50000	23688
1303809	Norte	13	AM	SAO GABRIEL DA CACHOEIRA	4 - 20001 até 50000	43094
1303908	Norte	13	AM	SAO PAULO DE OLIVENCA	4 - 20001 até 50000	36536
1303957	Norte	13	AM	SAO SEBASTIAO DO UATUMA	3 - 10001 até 20000	12781
1304005	Norte	13	AM	SILVES	2 - 5001 até 10000	9081
1304062	Norte	13	AM	TABATINGA	5 - 50001 até 100000	61028
1304104	Norte	13	AM	TAPAUA	3 - 10001 até 20000	18152
1304203	Norte	13	AM	TEFE	5 - 50001 até 100000	62444
1304237	Norte	13	AM	TONANTINS	3 - 10001 até 20000	18478
1304260	Norte	13	AM	UARINI	3 - 10001 até 20000	13121
1304302	Norte	13	AM	URUCARA	3 - 10001 até 20000	17163
1304401	Norte	13	AM	URUCURITUBA	4 - 20001 até 50000	21140
1400027	Norte	14	RR	AMAJARI	3 - 10001 até 20000	11006
1400050	Norte	14	RR	ALTO ALEGRE	3 - 10001 até 20000	16176
1400100	Norte	14	RR	BOA VISTA	6 - 100001 até 500000	320714
1400159	Norte	14	RR	BONFIM	3 - 10001 até 20000	11739
1400175	Norte	14	RR	CANTA	3 - 10001 até 20000	16149
1400209	Norte	14	RR	CARACARAI	4 - 20001 até 50000	20261
1400233	Norte	14	RR	CAROEBE	2 - 5001 até 10000	9165
1400282	Norte	14	RR	IRACEMA	3 - 10001 até 20000	10320
1400308	Norte	14	RR	MUCAJAI	3 - 10001 até 20000	16380
1400407	Norte	14	RR	NORMANDIA	3 - 10001 até 20000	10148
1400456	Norte	14	RR	PACARAIMA	3 - 10001 até 20000	11908
1400472	Norte	14	RR	RORAINOPOLIS	4 - 20001 até 50000	27288
1400506	Norte	14	RR	SAO JOAO DA BALIZA	2 - 5001 até 10000	7516
1400605	Norte	14	RR	SAO LUIZ	2 - 5001 até 10000	7407
1400704	Norte	14	RR	UIRAMUTA	2 - 5001 até 10000	9488
1500107	Norte	15	PA	ABAETETUBA	6 - 100001 até 500000	150431
1500131	Norte	15	PA	ABEL FIGUEIREDO	2 - 5001 até 10000	7126
1500206	Norte	15	PA	ACARA	5 - 50001 até 100000	54064
1500305	Norte	15	PA	AFUA	4 - 20001 até 50000	37398
1500347	Norte	15	PA	AGUA AZUL DO NORTE	4 - 20001 até 50000	26305
1500404	Norte	15	PA	ALENQUER	5 - 50001 até 100000	54662
1500503	Norte	15	PA	ALMEIRIM	4 - 20001 até 50000	33372
1500602	Norte	15	PA	ALTAMIRA	6 - 100001 até 500000	108382
1500701	Norte	15	PA	ANAJAS	4 - 20001 até 50000	27540
1500800	Norte	15	PA	ANANINDEUA	7 - Maior que 500000	505404
1500859	Norte	15	PA	ANAPU	4 - 20001 até 50000	25414
1500909	Norte	15	PA	AUGUSTO CORREA	4 - 20001 até 50000	43700
1500958	Norte	15	PA	AURORA DO PARA	4 - 20001 até 50000	29492
1501006	Norte	15	PA	AVEIRO	3 - 10001 até 20000	15953
1501105	Norte	15	PA	BAGRE	4 - 20001 até 50000	28292
1501204	Norte	15	PA	BAIAO	4 - 20001 até 50000	43757
1501253	Norte	15	PA	BANNACH	1 - Até 5000	3267
1501303	Norte	15	PA	BARCARENA	6 - 100001 até 500000	115779
1501402	Norte	15	PA	BELEM	7 - Maior que 500000	1439561
1501451	Norte	15	PA	BELTERRA	3 - 10001 até 20000	17036
1501501	Norte	15	PA	BENEVIDES	5 - 50001 até 100000	58637
1501576	Norte	15	PA	BOM JESUS DO TOCANTINS	3 - 10001 até 20000	16227
1501600	Norte	15	PA	BONITO	3 - 10001 até 20000	15282
1501709	Norte	15	PA	BRAGANCA	6 - 100001 até 500000	121528
1501725	Norte	15	PA	BRASIL NOVO	3 - 10001 até 20000	14984
1501758	Norte	15	PA	BREJO GRANDE DO ARAGUAIA	2 - 5001 até 10000	7232
1501782	Norte	15	PA	BREU BRANCO	5 - 50001 até 100000	61222
1501808	Norte	15	PA	BREVES	5 - 50001 até 100000	98231
1501907	Norte	15	PA	BUJARU	4 - 20001 até 50000	27689
1501956	Norte	15	PA	CACHOEIRA DO PIRIA	4 - 20001 até 50000	31300
1502004	Norte	15	PA	CACHOEIRA DO ARARI	4 - 20001 até 50000	22449
1502103	Norte	15	PA	CAMETA	6 - 100001 até 500000	130868
1502152	Norte	15	PA	CANAA DOS CARAJAS	4 - 20001 até 50000	33632
1502202	Norte	15	PA	CAPANEMA	5 - 50001 até 100000	66353
1502301	Norte	15	PA	CAPITAO POCO	5 - 50001 até 100000	52693
1502400	Norte	15	PA	CASTANHAL	6 - 100001 até 500000	189784
1502509	Norte	15	PA	CHAVES	4 - 20001 até 50000	22566
1502608	Norte	15	PA	COLARES	3 - 10001 até 20000	11682
1502707	Norte	15	PA	CONCEICAO DO ARAGUAIA	4 - 20001 até 50000	46395
1502756	Norte	15	PA	CONCORDIA DO PARA	4 - 20001 até 50000	31352
1502764	Norte	15	PA	CUMARU DO NORTE	3 - 10001 até 20000	12423
1502772	Norte	15	PA	CURIONOPOLIS	3 - 10001 até 20000	17709
1502806	Norte	15	PA	CURRALINHO	4 - 20001 até 50000	32248
1502855	Norte	15	PA	CURUA	3 - 10001 até 20000	13562
1502905	Norte	15	PA	CURUCA	4 - 20001 até 50000	37800
1502939	Norte	15	PA	DOM ELISEU	5 - 50001 até 100000	56398
1502954	Norte	15	PA	ELDORADO DOS CARAJAS	4 - 20001 até 50000	32664
1503002	Norte	15	PA	FARO	2 - 5001 até 10000	7333
1503044	Norte	15	PA	FLORESTA DO ARAGUAIA	3 - 10001 até 20000	19261
1503077	Norte	15	PA	GARRAFAO DO NORTE	4 - 20001 até 50000	25326
1503093	Norte	15	PA	GOIANESIA DO PARA	4 - 20001 até 50000	37975
1503101	Norte	15	PA	GURUPA	4 - 20001 até 50000	31623
1503200	Norte	15	PA	IGARAPE-ACU	4 - 20001 até 50000	37333
1503309	Norte	15	PA	IGARAPE-MIRI	5 - 50001 até 100000	60343
1503408	Norte	15	PA	INHANGAPI	3 - 10001 até 20000	11053
1503457	Norte	15	PA	IPIXUNA DO PARA	5 - 50001 até 100000	58558
1503507	Norte	15	PA	IRITUIA	4 - 20001 até 50000	31654
1503606	Norte	15	PA	ITAITUBA	5 - 50001 até 100000	98446
1503705	Norte	15	PA	ITUPIRANGA	5 - 50001 até 100000	51775
1503754	Norte	15	PA	JACAREACANGA	2 - 5001 até 10000	9677
1503804	Norte	15	PA	JACUNDA	5 - 50001 até 100000	56006
1503903	Norte	15	PA	JURUTI	5 - 50001 até 100000	53989
1504000	Norte	15	PA	LIMOEIRO DO AJURU	4 - 20001 até 50000	27368
1504059	Norte	15	PA	MAE DO RIO	4 - 20001 até 50000	28959
1504109	Norte	15	PA	MAGALHAES BARATA	2 - 5001 até 10000	8279
1504208	Norte	15	PA	MARABA	6 - 100001 até 500000	262085
1504307	Norte	15	PA	MARACANA	4 - 20001 até 50000	28656
1504406	Norte	15	PA	MARAPANIM	4 - 20001 até 50000	27368
1504422	Norte	15	PA	MARITUBA	6 - 100001 até 500000	122916
1504455	Norte	15	PA	MEDICILANDIA	4 - 20001 até 50000	29887
1504505	Norte	15	PA	MELGACO	4 - 20001 até 50000	26397
1504604	Norte	15	PA	MOCAJUBA	4 - 20001 até 50000	29398
1504703	Norte	15	PA	MOJU	5 - 50001 até 100000	77385
1504752	Norte	15	PA	MOJUI DOS CAMPOS	3 - 10001 até 20000	15446
1504802	Norte	15	PA	MONTE ALEGRE	5 - 50001 até 100000	56312
1504901	Norte	15	PA	MUANA	4 - 20001 até 50000	37977
1504950	Norte	15	PA	NOVA ESPERANCA DO PIRIA	4 - 20001 até 50000	20663
1504976	Norte	15	PA	NOVA IPIXUNA	3 - 10001 até 20000	15836
1505007	Norte	15	PA	NOVA TIMBOTEUA	3 - 10001 até 20000	14635
1505031	Norte	15	PA	NOVO PROGRESSO	4 - 20001 até 50000	25135
1505064	Norte	15	PA	NOVO REPARTIMENTO	5 - 50001 até 100000	70835
1505106	Norte	15	PA	OBIDOS	5 - 50001 até 100000	50459
1505205	Norte	15	PA	OEIRAS DO PARA	4 - 20001 até 50000	30880
1505304	Norte	15	PA	ORIXIMINA	5 - 50001 até 100000	69024
1505403	Norte	15	PA	OUREM	3 - 10001 até 20000	17114
1505437	Norte	15	PA	OURILANDIA DO NORTE	4 - 20001 até 50000	30776
1505486	Norte	15	PA	PACAJA	4 - 20001 até 50000	44778
1505494	Norte	15	PA	PALESTINA DO PARA	2 - 5001 até 10000	7424
1505502	Norte	15	PA	PARAGOMINAS	6 - 100001 até 500000	107010
1505536	Norte	15	PA	PARAUAPEBAS	6 - 100001 até 500000	189921
1505551	Norte	15	PA	PAU D'ARCO	2 - 5001 até 10000	5535
1505601	Norte	15	PA	PEIXE-BOI	2 - 5001 até 10000	7874
1505635	Norte	15	PA	PICARRA	3 - 10001 até 20000	12675
1505650	Norte	15	PA	PLACAS	4 - 20001 até 50000	28533
1505700	Norte	15	PA	PONTA DE PEDRAS	4 - 20001 até 50000	29160
1505809	Norte	15	PA	PORTEL	5 - 50001 até 100000	58282
1505908	Norte	15	PA	PORTO DE MOZ	4 - 20001 até 50000	38471
1506005	Norte	15	PA	PRAINHA	4 - 20001 até 50000	29200
1506104	Norte	15	PA	PRIMAVERA	3 - 10001 até 20000	10485
1506112	Norte	15	PA	QUATIPURU	3 - 10001 até 20000	13044
1506138	Norte	15	PA	REDENCAO	5 - 50001 até 100000	80797
1506161	Norte	15	PA	RIO MARIA	3 - 10001 até 20000	17738
1506187	Norte	15	PA	RONDON DO PARA	4 - 20001 até 50000	49977
1506195	Norte	15	PA	RUROPOLIS	4 - 20001 até 50000	46804
1506203	Norte	15	PA	SALINOPOLIS	4 - 20001 até 50000	39078
1506302	Norte	15	PA	SALVATERRA	4 - 20001 até 50000	22370
1506351	Norte	15	PA	SANTA BARBARA DO PARA	3 - 10001 até 20000	19645
1506401	Norte	15	PA	SANTA CRUZ DO ARARI	2 - 5001 até 10000	9417
1506500	Norte	15	PA	SANTA ISABEL DO PARA	5 - 50001 até 100000	66490
1506559	Norte	15	PA	SANTA LUZIA DO PARA	3 - 10001 até 20000	19383
1506583	Norte	15	PA	SANTA MARIA DAS BARREIRAS	3 - 10001 até 20000	19925
1506609	Norte	15	PA	SANTA MARIA DO PARA	4 - 20001 até 50000	23927
1506708	Norte	15	PA	SANTANA DO ARAGUAIA	5 - 50001 até 100000	67033
1506807	Norte	15	PA	SANTAREM	6 - 100001 até 500000	292520
1506906	Norte	15	PA	SANTAREM NOVO	2 - 5001 até 10000	6437
1507003	Norte	15	PA	SANTO ANTONIO DO TAUA	4 - 20001 até 50000	29629
1507102	Norte	15	PA	SAO CAETANO DE ODIVELAS	3 - 10001 até 20000	17420
1507151	Norte	15	PA	SAO DOMINGOS DO ARAGUAIA	4 - 20001 até 50000	24451
1507201	Norte	15	PA	SAO DOMINGOS DO CAPIM	4 - 20001 até 50000	30847
1507300	Norte	15	PA	SAO FELIX DO XINGU	6 - 100001 até 500000	116186
1507409	Norte	15	PA	SAO FRANCISCO DO PARA	3 - 10001 até 20000	15380
1507458	Norte	15	PA	SAO GERALDO DO ARAGUAIA	4 - 20001 até 50000	24607
1507466	Norte	15	PA	SAO JOAO DA PONTA	2 - 5001 até 10000	5795
1507474	Norte	15	PA	SAO JOAO DE PIRABAS	4 - 20001 até 50000	21991
1507508	Norte	15	PA	SAO JOAO DO ARAGUAIA	3 - 10001 até 20000	13521
1507607	Norte	15	PA	SAO MIGUEL DO GUAMA	5 - 50001 até 100000	55942
1507706	Norte	15	PA	SAO SEBASTIAO DA BOA VISTA	4 - 20001 até 50000	25161
1507755	Norte	15	PA	SAPUCAIA	2 - 5001 até 10000	5587
1507805	Norte	15	PA	SENADOR JOSE PORFIRIO	3 - 10001 até 20000	11827
1507904	Norte	15	PA	SOURE	4 - 20001 até 50000	24286
1507953	Norte	15	PA	TAILANDIA	5 - 50001 até 100000	97161
1507961	Norte	15	PA	TERRA ALTA	3 - 10001 até 20000	11120
1507979	Norte	15	PA	TERRA SANTA	3 - 10001 até 20000	17946
1508001	Norte	15	PA	TOME-ACU	5 - 50001 até 100000	60456
1508035	Norte	15	PA	TRACUATEUA	4 - 20001 até 50000	29465
1508050	Norte	15	PA	TRAIRAO	3 - 10001 até 20000	18084
1508084	Norte	15	PA	TUCUMA	4 - 20001 até 50000	37308
1508100	Norte	15	PA	TUCURUI	6 - 100001 até 500000	107189
1508126	Norte	15	PA	ULIANOPOLIS	5 - 50001 até 100000	53881
1508159	Norte	15	PA	URUARA	4 - 20001 até 50000	44486
1508209	Norte	15	PA	VIGIA	5 - 50001 até 100000	51173
1508308	Norte	15	PA	VISEU	5 - 50001 até 100000	59054
1508357	Norte	15	PA	VITORIA DO XINGU	3 - 10001 até 20000	14407
1508407	Norte	15	PA	XINGUARA	4 - 20001 até 50000	42833
1600055	Norte	16	AP	SERRA DO NAVIO	1 - Até 5000	4938
1600105	Norte	16	AP	AMAPA	2 - 5001 até 10000	8622
1600154	Norte	16	AP	PEDRA BRANCA DO AMAPARI	3 - 10001 até 20000	13988
1600204	Norte	16	AP	CALCOENE	3 - 10001 até 20000	10163
1600212	Norte	16	AP	CUTIAS	2 - 5001 até 10000	5407
1600238	Norte	16	AP	FERREIRA GOMES	2 - 5001 até 10000	6901
1600253	Norte	16	AP	ITAUBAL	1 - Até 5000	4949
1600279	Norte	16	AP	LARANJAL DO JARI	4 - 20001 até 50000	45712
1600303	Norte	16	AP	MACAPA	6 - 100001 até 500000	456171
1600402	Norte	16	AP	MAZAGAO	3 - 10001 até 20000	19571
1600501	Norte	16	AP	OIAPOQUE	4 - 20001 até 50000	24263
1600535	Norte	16	AP	PORTO GRANDE	3 - 10001 até 20000	19669
1600550	Norte	16	AP	PRACUUBA	1 - Até 5000	4531
1600600	Norte	16	AP	SANTANA	6 - 100001 até 500000	112218
1600709	Norte	16	AP	TARTARUGALZINHO	3 - 10001 até 20000	15212
1600808	Norte	16	AP	VITORIA DO JARI	3 - 10001 até 20000	14364
1700251	Norte	17	TO	ABREULANDIA	1 - Até 5000	2539
1700301	Norte	17	TO	AGUIARNOPOLIS	2 - 5001 até 10000	6149
1700350	Norte	17	TO	ALIANCA DO TOCANTINS	2 - 5001 até 10000	5605
1700400	Norte	17	TO	ALMAS	2 - 5001 até 10000	7409
1700707	Norte	17	TO	ALVORADA	2 - 5001 até 10000	8536
1701002	Norte	17	TO	ANANAS	2 - 5001 até 10000	9848
1701051	Norte	17	TO	ANGICO	1 - Até 5000	3379
1701101	Norte	17	TO	APARECIDA DO RIO NEGRO	1 - Até 5000	4618
1701309	Norte	17	TO	ARAGOMINAS	2 - 5001 até 10000	5910
1701903	Norte	17	TO	ARAGUACEMA	2 - 5001 até 10000	6863
1702000	Norte	17	TO	ARAGUACU	2 - 5001 até 10000	8777
1702109	Norte	17	TO	ARAGUAINA	6 - 100001 até 500000	170183
1702158	Norte	17	TO	ARAGUANA	2 - 5001 até 10000	5515
1702208	Norte	17	TO	ARAGUATINS	4 - 20001 até 50000	34392
1702307	Norte	17	TO	ARAPOEMA	2 - 5001 até 10000	6799
1702406	Norte	17	TO	ARRAIAS	3 - 10001 até 20000	10778
1702554	Norte	17	TO	AUGUSTINOPOLIS	3 - 10001 até 20000	17627
1702703	Norte	17	TO	AURORA DO TOCANTINS	1 - Até 5000	3682
1702901	Norte	17	TO	AXIXA DO TOCANTINS	2 - 5001 até 10000	9706
1703008	Norte	17	TO	BABACULANDIA	3 - 10001 até 20000	10736
1703057	Norte	17	TO	BANDEIRANTES DO TOCANTINS	1 - Até 5000	3420
1703073	Norte	17	TO	BARRA DO OURO	1 - Até 5000	4460
1703107	Norte	17	TO	BARROLANDIA	2 - 5001 até 10000	5601
1703206	Norte	17	TO	BERNARDO SAYAO	1 - Até 5000	4532
1703305	Norte	17	TO	BOM JESUS DO TOCANTINS	1 - Até 5000	4477
1703602	Norte	17	TO	BRASILANDIA DO TOCANTINS	1 - Até 5000	2177
1703701	Norte	17	TO	BREJINHO DE NAZARE	2 - 5001 até 10000	5451
1703800	Norte	17	TO	BURITI DO TOCANTINS	3 - 10001 até 20000	10837
1703826	Norte	17	TO	CACHOEIRINHA	1 - Até 5000	2256
1703842	Norte	17	TO	CAMPOS LINDOS	2 - 5001 até 10000	9408
1703867	Norte	17	TO	CARIRI DO TOCANTINS	1 - Até 5000	4178
1703883	Norte	17	TO	CARMOLANDIA	1 - Até 5000	2507
1703891	Norte	17	TO	CARRASCO BONITO	1 - Até 5000	3983
1703909	Norte	17	TO	CASEARA	2 - 5001 até 10000	5119
1704105	Norte	17	TO	CENTENARIO	1 - Até 5000	2803
1704600	Norte	17	TO	CHAPADA DE AREIA	1 - Até 5000	1397
1705102	Norte	17	TO	CHAPADA DA NATIVIDADE	1 - Até 5000	3363
1705508	Norte	17	TO	COLINAS DO TOCANTINS	4 - 20001 até 50000	33981
1705557	Norte	17	TO	COMBINADO	1 - Até 5000	4851
1705607	Norte	17	TO	CONCEICAO DO TOCANTINS	1 - Até 5000	4209
1706001	Norte	17	TO	COUTO MAGALHAES	2 - 5001 até 10000	5424
1706100	Norte	17	TO	CRISTALANDIA	2 - 5001 até 10000	7386
1706258	Norte	17	TO	CRIXAS DO TOCANTINS	1 - Até 5000	1680
1706506	Norte	17	TO	DARCINOPOLIS	2 - 5001 até 10000	5833
1707009	Norte	17	TO	DIANOPOLIS	4 - 20001 até 50000	21167
1707108	Norte	17	TO	DIVINOPOLIS DO TOCANTINS	2 - 5001 até 10000	6777
1707207	Norte	17	TO	DOIS IRMAOS DO TOCANTINS	2 - 5001 até 10000	7302
1707306	Norte	17	TO	DUERE	1 - Até 5000	4722
1707405	Norte	17	TO	ESPERANTINA	3 - 10001 até 20000	10506
1707553	Norte	17	TO	FATIMA	1 - Até 5000	3886
1707652	Norte	17	TO	FIGUEIROPOLIS	2 - 5001 até 10000	5386
1707702	Norte	17	TO	FILADELFIA	2 - 5001 até 10000	8848
1708205	Norte	17	TO	FORMOSO DO ARAGUAIA	3 - 10001 até 20000	18742
1708254	Norte	17	TO	FORTALEZA DO TABOCAO	1 - Até 5000	2556
1708304	Norte	17	TO	GOIANORTE	2 - 5001 até 10000	5135
