A1	Codigouf	Codigomunicipio	Nome	A151	A152	A153	A154	A155	A156	A157	A158	A159	A160	A161	A162	A163	A164	A165	A166	A167	A168	A169	A170	A171	A172	A173	A174	A175	A176	A177	A178	A179	A180	A181	A182	A183	A184	A185	A186	A187	A188	A189	A190	A191	A192	A193	A194	A195	A196	A197	A198
3170701	31	70701	VARGINHA	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3170750	31	70750	VARJAO DE MINAS	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3170800	31	70800	VARZEA DA PALMA	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3170909	31	70909	VARZELANDIA	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3171006	31	71006	VAZANTE	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-
3171030	31	71030	VERDELANDIA	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não
3171071	31	71071	VEREDINHA	Não	-	-	-	Sim	Sim	Sim	Não	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-
3171105	31	71105	VERISSIMO	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
3171154	31	71154	VERMELHO NOVO	Não	-	-	-	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Não	-	-	-	Sim	Sim	Não	Não
3171204	31	71204	VESPASIANO	Não	-	-	-	Sim	Não	Sim	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3171303	31	71303	VICOSA	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-
3171402	31	71402	VIEIRAS	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-
3171501	31	71501	MATHIAS LOBATO	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3171600	31	71600	VIRGEM DA LAPA	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-
3171709	31	71709	VIRGINIA	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3171808	31	71808	VIRGINOPOLIS	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3171907	31	71907	VIRGOLANDIA	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3172004	31	72004	VISCONDE DO RIO BRANCO	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3172103	31	72103	VOLTA GRANDE	Não	-	-	-	Sim	Não	Sim	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3172202	31	72202	WENCESLAU BRAZ	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
3200102	32	102	AFONSO CLAUDIO	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3200136	32	136	AGUIA BRANCA	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3200169	32	169	AGUA DOCE DO NORTE	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não
3200201	32	201	ALEGRE	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3200300	32	300	ALFREDO CHAVES	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3200359	32	359	ALTO RIO NOVO	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
3200409	32	409	ANCHIETA	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-
3200508	32	508	APIACA	Não	-	-	-	Sim	Sim	Não	Não	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-	Não	-	-	-
