A1	Codigouf	Codigomunicipio	Nome	A118	A119	A120	A121	A122	A123	A124	A125	A126	A127	A128	A129	A130	A131	A132	A133	A134	A135	A136	A137	A138	A139
3116704	31	16704	COIMBRA	Sim	Não	Não	Não	Sim	Sim	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Não
3116803	31	16803	COLUNA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Sim	Sim	Sim
3116902	31	16902	COMENDADOR GOMES	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3117009	31	17009	COMERCINHO	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim
3117108	31	17108	CONCEICAO DA APARECIDA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3117207	31	17207	CONCEICAO DAS PEDRAS	Não contratou	-	-	-	-	-	-	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Não	Sim	Sim
3117306	31	17306	CONCEICAO DAS ALAGOAS	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3117405	31	17405	CONCEICAO DE IPANEMA	Sim	Não	Não	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Sim
3117504	31	17504	CONCEICAO DO MATO DENTRO	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim
3117603	31	17603	CONCEICAO DO PARA	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3117702	31	17702	CONCEICAO DO RIO VERDE	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3117801	31	17801	CONCEICAO DOS OUROS	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim
